	z	a	q	v	f	r	x	s	w	c	d	e	n	h	y	t	b	g
z	2.298085030548271	0.471983830459196	0.16734031430765997	0.6132227337818248	0.1581671694325763	0.08994727782838366	0.26100657665020355	0.7383430623432273	1.439237880514853	0.4439857700036505	0.7492378282772907	0.41809767972085277	0.5295050293011347	0.7240747478129028	0.7227370551669321	0.37351824441219833	0.7009166317429333	0.6350311201320896
a	0.471983830459196	4.856794609219774	0.7500058035036883	0.46853717223238256	0.508723075219445	0.13416668392546052	0.24876611234369475	0.20150045401038258	0.4453753448274581	0.29855483412333406	0.34254444320909644	0.20027922244114882	0.5309732006192232	0.5335814020964841	0.7295985959300533	0.16702779934128525	0.74065715009036	0.742353539458594
q	0.16734031430765997	0.7500058035036883	26.900402775097255	0.19807578826421404	0.12552022985379527	0.628657255327986	0.08728047365635044	0.06341222876760359	0.14136785027040052	0.141029897390258	0.0966767620092257	0.051136409406418754	0.2742400562983751	0.16481218548933343	0.27354741441155017	0.06937305854686	0.6962779309350009	0.41464037294148526
v	0.6132227337818248	0.46853717223238256	0.19807578826421404	13.720688870803732	1.436589825182236	0.9886814526428725	0.3183872760937481	0.22920774682409334	0.19690640322703348	0.39904945939700426	0.36557073040830335	0.23868529692193632	2.3618476067788237	2.415088065746508	2.353889526595301	0.6334519309859002	0.7268020963921115	2.416202707715629
f	0.1581671694325763	0.508723075219445	0.12552022985379527	1.436589825182236	9.945072060734805	1.1931879575596724	0.10684282635869248	0.08130937580811869	0.052203989718235526	0.1380834916457169	0.09001888903203437	0.04938654981858949	0.8020187017403365	0.632314182818918	0.6545850023388344	0.25730739709262707	0.27428499264530337	2.3247001436644172
r	0.08994727782838366	0.13416668392546052	0.628657255327986	0.9886814526428725	1.1931879575596724	41.5398394861781	0.09475792347187442	0.08301200908842352	0.03205506563015758	0.08675976840434751	0.06595794718470857	0.02793794062734895	1.3106498915324913	0.9497111505725266	1.6164913203952747	0.1124888659664113	0.15528981642221826	3.411600874161273
x	0.26100657665020355	0.24876611234369475	0.08728047365635044	0.3183872760937481	0.10684282635869248	0.09475792347187442	6.447044210074635	1.0605099560411344	0.5579358365235079	0.3976763493967355	0.5167773941630235	0.4058645666482726	1.0430595915403083	0.934558816513797	0.9821330426310116	0.14892369227056892	0.5861593354770435	0.5599195113096428
s	0.7383430623432273	0.20150045401038258	0.06341222876760359	0.22920774682409334	0.08130937580811869	0.08301200908842352	1.0605099560411344	32.83471834819477	4.167610618385333	0.46704098221427714	0.5702011065524016	0.2677465991163507	0.6836343978803314	0.9534881631685407	1.9264133842094229	0.2847012693981382	0.5987121186471452	0.39385579659003067
w	1.439237880514853	0.4453753448274581	0.14136785027040052	0.19690640322703348	0.052203989718235526	0.03205506563015758	0.5579358365235079	4.167610618385333	79.39643001055741	1.4911226114503484	2.1638156318067363	0.7657526476353761	0.43581501454182464	0.586376498382938	2.784497450199046	0.8111273276128206	0.9120999176551572	0.2242843809301878
c	0.4439857700036505	0.29855483412333406	0.141029897390258	0.39904945939700426	0.1380834916457169	0.08675976840434751	0.3976763493967355	0.46704098221427714	1.4911226114503484	10.966125839919597	2.5676950994686227	0.7033738898440354	1.3241030729857497	2.129388947269492	1.1736061735840009	0.3474625265705015	1.4059959380496463	0.7092972533903164
